 CNTY , CONAME ,TOTPOP,POPRANK,POPSQMI,POPANGNO,POPANGPC,POPBLNO,POPBLPCT,POPHISNO,POPHISPC,POPOTHNO,POPOTHPC,POP04TOT,POP04F,POP04M,POP04PCT,POP514TO,POP514F,POP514M,POP514PC,POP1544T,POP1544F,POP1544M,POP1544PC,POP4564T,POP4564F,POP4564M,POP4564PC,POP65T,POP65F,POP65M,POP65PC,POPTFNO,POPTMNO,POPTFMPC,POPTMPC, UNEMPRT , TANFRECP ,FSPARTIC, PCPI , MCELIG , LIVEBIR ,ADBIRNO, ADBIRPCT ,UNWEDNO, UNWEDPCT , LBWNO , LBWPCT ,PRNTNO, PREPCT ,FERTILRT,TBNO,TBRATE,SYPHNO, SYPHRATE ,GONNO, GONRATE ,CHLAMNO,CHLAMRTE,PERTNO, PERTRATE ,VARICNO, VARICRTE ,AIDSNO, AIDSRATE , ALLDEANO ,ALLDEART,CDDEANO,CDDEART,HRTDEANO,HRTDEART,STRDEANO,STRDEART,CANDEANO, CANDEART ,LNGCANDN, LNGCANDR ,BRCANDN, BRCANDR ,COPDDN, COPDDR ,DIADEANO, DIADEART ,INFDEANO, INFDEART ,FTLDEANO,FTLDEART,ACCDEANO, ACCDEART ,MVDEANO, MVDEART ,HMIDEANO, HMIDEART ,SUIDEANO, SUIDEART , POVTOT ,PopUniv_Tot, POVPCT , POV017NO , PopUniv_LT18 , POV017PC , POVGT17N , PopUniv_18+ , POVGT17P , CHIP , Medbirth , Totbirth , MedbirthP , LaborForce , #UnEmp , UnEmp% ,PercapPop,PersInc, PercapInc ,AREA2,PreNatal,NOHILT65,NOHILT65POP,NOHILT65%,NOHI1864,NOHI1864POP,NOHILT18,NOHILT18POP,NOHILT18%,Alzheimer's,ALZDEART, FLUDEANO , FLUDEART , CLNDEANO , CLNDEART , PRSTDEANO , PRSTDEART , NEPHDEANO , NEPHDEART , LVRDEANO , LVVRDEART , SEPTDEANO , SEPTDEART ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,YEAR of DATA,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,SFY2009,SFY2009,2009,SFY2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,SFY2009,FY2009,FY2009,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,2009 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1 , Anderson County ,"56,810",56,53.1,"34,772",61.2%,"13,028",22.9%,"8,469",14.9%,541,1.0%,"3,294","1,615","1,679",5.8%,"6,145","2,990","3,155",10.8%,"25,587","7,772","17,815",45.0%,"14,591","5,966","8,625",25.7%,"7,193","3,941","3,252",12.7%,"22,284","34,526",39.2%,60.8%,8.8%,118,"5,495","$26,264","10,896", 618 ,33,5.3%,300,48.5%,51,8.3%,367,60.0%,79.5,0,---,1,1.8,44,77.5,86,151.4,1,1.8,17,29.9,2,4.6,612,1040.3,#REF!,#REF!,131,226.0,31,52.2,141,233.1,49,82.0,5,---,30,52.2,14,---,4,---,2,---,35,61.6,21,36.7,5,---,12,---,"10,263","42,242",24.3%,"2,917","11,327",25.8%,"7,346","30,915",23.8%,725,0,674,0.0%,"20,879","1,841",8.8%,"57,001","1,497,074,264","$26,264","1,070.8",612,"14,489","47,523",30%,"12,588","36,199","1,901","11,324",16.8%,41,73.2,9,---,14,---,3,---,10,---,16,---,12,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2 , Andrews County ,"14,156",147,9.4,"7,122",50.3%,261,1.8%,"6,576",46.5%,197,1.4%,"1,239",601,638,8.8%,"2,032",985,"1,047",14.4%,"5,422","2,704","2,718",38.3%,"3,511","1,761","1,750",24.8%,"1,952","1,085",867,13.8%,"7,136","7,020",50.4%,49.6%,7.1%,29,"1,348","$36,062","2,750", 258 ,19,7.4%,115,44.6%,29,11.2%,168,65.6%,95.4,0,---,0,---,4,28.3,67,473.3,2,14.1,0,---,2,14.1,115,765.3,#REF!,#REF!,26,172.0,6,---,24,152.6,7,---,3,---,14,---,4,---,2,---,1,---,11,---,4,---,1,---,1,---,"1,744","13,927",12.5%,727,"4,250",17.1%,"1,017","9,677",10.5%,281,0,261,0.0%,"7,008",496,7.1%,"14,057","506,923,534","$36,062","1,500.6",256,"3,338","12,270",27%,"2,501","7,996",837,"4,274",19.6%,6,---,3,---,2,---,1,---,0,---,3,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3 , Angelina County ,"83,727",44,104.4,"52,407",62.6%,"12,014",14.3%,"18,252",21.8%,"1,054",1.3%,"6,200","3,036","3,164",7.4%,"12,207","6,001","6,206",14.6%,"33,544","16,354","17,190",40.1%,"20,711","10,308","10,403",24.7%,"11,065","6,254","4,811",13.2%,"41,953","41,774",50.1%,49.9%,8.3%,287,"14,584","$34,787","19,932"," 1,307 ",76,5.8%,619,47.4%,127,9.7%,680,53.2%,79.9,1,1.2,5,6.0,108,129.0,272,324.9,32,38.2,29,34.6,7,8.4,846,965.2,#REF!,#REF!,205,230.4,141,159.6,163,185.0,55,61.8,13,---,64,72.7,12,---,6,---,6,---,35,41.8,20,---,5,---,13,---,"13,793","81,110",17.0%,"5,654","22,269",25.4%,"8,139","58,841",13.8%,992,0,"1,294",0.0%,"40,038","3,335",8.3%,"83,675","2,910,802,225","$34,787",801.6,"1,279","17,862","69,938",26%,"14,328","47,786","3,534","22,152",16.0%,27,31.7,13,---,14,---,7,---,17,---,9,---,9,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4 , Aransas County ,"25,507",102,101.3,"18,670",73.2%,376,1.5%,"5,463",21.4%,998,3.9%,"1,337",659,678,5.2%,"2,589","1,243","1,346",10.2%,"7,807","3,790","4,017",30.6%,"8,086","4,197","3,889",31.7%,"5,688","2,966","2,722",22.3%,"12,855","12,652",50.4%,49.6%,6.9%,69,"3,705","$38,289","5,028", 276 ,16,5.8%,143,51.8%,18,6.5%,149,56.4%,72.8,1,3.7,0,---,20,78.4,114,446.9,0,---,0,---,1,3.7,321,894.5,#REF!,#REF!,77,193.7,14,---,66,161.0,24,55.2,3,---,27,70.2,11,---,1,---,2,---,22,86.9,7,---,2,---,3,---,"4,701","24,452",19.2%,"1,789","5,056",35.4%,"2,912","19,396",15.0%,301,0,277,0.0%,"11,609",801,6.9%,"24,826","950,562,714","$38,289",251.9,264,"5,313","18,727",28%,"4,364","13,665",949,"5,062",18.7%,8,---,1,---,2,---,2,---,8,---,6,---,5,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5 , Archer County ,"9,425",172,10.4,"8,727",92.6%,14,0.1%,623,6.6%,61,0.6%,506,248,258,5.4%,"1,232",594,638,13.1%,"3,544","1,634","1,910",37.6%,"2,783","1,399","1,384",29.5%,"1,360",752,608,14.4%,"4,627","4,798",49.1%,50.9%,6.0%,0,486,"$41,857",721, 98 ,2,2.0%,32,32.7%,7,7.1%,83,84.7%,60.0,0,---,0,---,1,10.6,9,95.5,0,---,2,21.2,0,---,64,627.9,#REF!,#REF!,8,---,4,---,18,---,5,---,2,---,6,---,3,---,0,---,0,---,3,---,0,---,0,---,2,---,943,"8,852",10.7%,301,"2,193",13.7%,642,"6,659",9.6%,79,0,81,0.0%,"5,139",308,6.0%,"8,912","373,029,584","$41,857",909.7,98,"1,810","7,536",24%,"1,411","5,330",399,"2,206",18.1%,5,---,1,---,3,---,0,---,1,---,0,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 6 , Armstrong County ,"2,191",236,2.4,"2,029",92.6%,5,0.2%,148,6.8%,9,0.4%,149,69,80,6.8%,261,117,144,11.9%,751,371,380,34.3%,576,291,285,26.3%,454,247,207,20.7%,"1,095","1,096",50.0%,50.0%,4.8%,0,48,"$37,819",230, 24 ,1,4.2%,5,20.8%,3,12.5%,15,62.5%,64.7,0,---,0,---,1,45.6,5,228.2,0,---,1,45.6,0,---,29,816.2,#REF!,#REF!,6,---,1,---,6,---,1,---,0,---,4,---,0,---,0,---,0,---,3,---,2,---,1,---,0,---,202,"1,988",10.2%,70,492,14.2%,132,"1,496",8.8%,21,0,20,0.0%,"1,103",53,4.8%,"2,065","78,096,235","$37,819",913.6,24,402,"1,634",25%,307,"1,140",95,494,19.2%,2,---,0,---,1,---,0,---,0,---,0,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 7 , Atascosa County ,"44,727",68,36.3,"16,727",37.4%,195,0.4%,"27,492",61.5%,313,0.7%,"3,327","1,629","1,698",7.4%,"6,941","3,418","3,523",15.5%,"18,221","9,091","9,130",40.7%,"11,363","5,802","5,561",25.4%,"4,875","2,643","2,232",10.9%,"22,583","22,144",50.5%,49.5%,7.4%,72,"8,525","$28,333","12,107", 670 ,43,6.4%,341,50.9%,72,10.7%,416,67.0%,73.7,2,4.4,0,---,19,42.5,106,237.0,1,2.2,9,20.1,3,6.6,352,899.6,#REF!,#REF!,77,197.6,19,---,79,196.8,16,---,3,---,17,---,18,---,4,---,3,---,16,---,7,---,2,---,6,---,"8,158","44,089",18.5%,"3,691","12,798",28.8%,"4,467","31,291",14.3%,"1,023",0,662,0.0%,"19,446","1,447",7.4%,"44,633","1,264,586,789","$28,333","1,232.1",621,"10,850","38,424",28%,"8,785","25,713","2,065","12,711",16.2%,8,---,5,---,12,---,2,---,11,---,7,---,4,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 8 , Austin County ,"27,412",96,42.0,"18,532",67.6%,"2,960",10.8%,"5,741",20.9%,179,0.7%,"1,831",892,939,6.7%,"3,588","1,752","1,836",13.1%,"10,094","4,942","5,152",36.8%,"7,852","3,964","3,888",28.6%,"4,047","2,246","1,801",14.8%,"13,796","13,616",50.3%,49.7%,7.4%,30,"2,137","$38,954","4,244", 379 ,14,3.7%,143,37.7%,19,5.0%,185,51.0%,76.7,1,3.5,1,3.6,16,58.4,56,204.3,2,7.3,25,91.2,3,10.6,284,871.1,#REF!,#REF!,91,275.9,11,---,54,160.9,8,---,3,---,20,---,10,---,2,---,1,---,15,---,6,---,0,---,0,---,"2,961","26,960",11.0%,"1,116","6,868",16.2%,"1,845","20,092",9.2%,495,0,376,0.0%,"13,382",985,7.4%,"27,248","1,061,418,592","$38,954",652.6,363,"5,404","22,633",24%,"4,163","15,778","1,241","6,855",18.1%,7,---,3,---,6,---,3,---,3,---,3,---,4,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 9 , Bailey County ,"6,344",192,7.7,"2,816",44.4%,80,1.3%,"3,423",54.0%,25,0.4%,633,309,324,10.0%,"1,009",496,513,15.9%,"2,306","1,149","1,157",36.3%,"1,423",703,720,22.4%,973,520,453,15.3%,"3,177","3,167",50.1%,49.9%,5.6%,6,949,"$33,307","2,099", 155 ,8,5.2%,64,41.3%,16,10.3%,66,43.1%,134.9,0,---,0,---,2,31.5,31,488.7,0,---,1,15.8,0,---,56,768.7,#REF!,#REF!,8,---,3,---,9,---,1,---,2,---,4,---,0,---,2,---,0,---,4,---,1,---,0,---,1,---,"1,112","6,210",17.9%,561,"2,001",28.0%,551,"4,209",13.1%,233,0,145,0.0%,"3,370",190,5.6%,"6,273","208,934,811","$33,307",826.7,153,"1,896","5,236",36%,"1,413","3,265",483,"1,971",24.5%,5,---,1,---,0,---,2,---,3,---,0,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
